,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
349,The Countryman and the Cinematograph,1901,Not Rated,N/A,1 min,"Short, Comedy",Robert W. Paul,N/A,N/A,"A satire on the way that audiences unaccustomed to the cinema didn't know how to react to the moving images on a screen - in this film, an unsophisticated (and stereotypical) country yokel is alternately baffled and terrified, in the",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODE3MThiOWEtNWY4Yy00MTM4LWJlNTEtNDczNTA4NzRhOTAwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,686,tt0000350,movie,N/A,N/A,N/A,N/A,True,
350,Danses basques,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,"Geneviève Koch, Julie Souplet",N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000351,movie,N/A,N/A,N/A,N/A,True,
351,Day at the Circus,1901,N/A,N/A,N/A,"Documentary, Short",Edwin S. Porter,N/A,N/A,We present here a series of interesting pictures and show a number of scenes just as witnessed by a visitor to the Great Forepaugh and Sells Bros. combined four-ring circus. We begin by ...,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWQyYWQ1NDQtMjA4Yy00ODQ2LTg1NzctYWJkN2I5MDI2YmMxXkEyXkFqcGdeQXVyMzUwMTgwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,25,tt0000352,movie,N/A,N/A,N/A,N/A,True,
352,Execution of Czolgosz with Panorama of Auburn Prison,1901,N/A,16 Nov 1901,4 min,"Short, Drama, History",Edwin S. Porter,N/A,N/A,"This early docudrama shows Auburn Prison and recreates the electrocution of Leon Czolgosz, the assassin of President McKinley of the United States. Some versions offer additional footage at the beginning which shows McKinley on the d",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGFlYWY2MmYtNjRmZC00YTg5LTg1YjMtZWY4OWZjMmM0NjZjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,341,tt0000353,movie,N/A,N/A,N/A,N/A,True,
353,Exercício de Artilharia no Hipódromo de Belém,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,None,Portugal,N/A,N/A,[],N/A,N/A,N/A,tt0000354,movie,N/A,N/A,N/A,N/A,True,
354,Fire!,1901,N/A,15 Oct 1901,5 min,"Short, Action, Drama",James Williamson,N/A,N/A,"Firefighters ring for help, and here comes the ladder cart; they hitch a horse to it. A second horse-drawn truck joins the first, and they head down the street to a house fire. Inside a man sleeps, he awakes amidst flames and throws ",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOTU2NjI3YzUtY2MxNi00ZTFhLTllZGItNDNhYzQ0ZDdkMTVhXkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,650,tt0000355,movie,N/A,N/A,N/A,N/A,True,
355,Frivolité,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000356,movie,N/A,N/A,N/A,N/A,True,
356,The Haunted Curiosity Shop,1901,N/A,01 May 1902,2 min,"Short, Comedy, Fantasy",Walter R. Booth,N/A,N/A,"An old proprietor is startled by the sudden appearance of a skull. Just as he draws back from the uncanny object, the doors of a mediaeval wardrobe fly back and a hand prods him with a sword. He turns to confront his assailant when i",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZmJmNWIyYmUtYTgzYy00ODkzLWIxOWYtNzJhZDc1YjY0N2QzXkEyXkFqcGdeQXVyMzU3NzExNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,417,tt0000357,movie,N/A,N/A,N/A,N/A,True,
357,Histoire d'un crime,1901,N/A,01 May 1902,5 min,"Short, Crime, Drama",Ferdinand Zecca,Ferdinand Zecca,"Jean Liézer, Bretteau, Ferdinand Zecca","A burglar is arrested for a murder. He is condemned to death. Before his execution the murderer dreams of his past, of how he was a bank clerk, then turned to crime. The criminal is then taken out of his cell, and a moment later is e","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BNDY0OTUxZGItMzM0Yi00NjgwLWIxYTgtYjVlNzdkOGU1YzAwXkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,663,tt0000358,movie,N/A,N/A,N/A,N/A,True,
358,L'homme à la tête en caoutchouc,1901,N/A,N/A,3 min,"Short, Comedy, Fantasy",Georges Méliès,N/A,Georges Méliès,A chemist carries out a bizarre experiment with his own head.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOWM0M2E0ZjQtMWViNy00ZmM3LTk3MDgtOWQyZTE4NjVhMTk4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"2,764",tt0000359,movie,N/A,N/A,N/A,N/A,True,
359,Hussards et grisettes,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,"Geneviève Koch, Julie Souplet",N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000360,movie,N/A,N/A,N/A,N/A,True,
360,Lavatory moderne,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,10,tt0000361,movie,N/A,N/A,N/A,N/A,True,
361,Lecture quotidienne,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000362,movie,N/A,N/A,N/A,N/A,True,
362,Magical Sword,1901,N/A,01 May 1902,2 min,"Short, Fantasy, Romance",Walter R. Booth,Walter R. Booth,N/A,"On the roof of an ancient palace appear a young Knight and his lady. While they are making love an ugly old witch appears and is rather troublesome. The Knight commands her to leave, and ...",None,UK,N/A,https://m.media-amazon.com/images/M/MV5BODM3MGI3MjAtOGIzZi00YWRhLWE3YzMtMTVhNjk3YjkwODE2XkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,128,tt0000363,movie,N/A,N/A,N/A,N/A,True,
363,Panorama of Esplanade by Night,1901,N/A,01 Nov 1901,1 min,"Documentary, Short",Edwin S. Porter,N/A,N/A,"A most perfect picture of the Pan-American Exposition buildings, including the Electric Tower and Temple of Music, as they appear at night.","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,126,tt0000364,movie,N/A,N/A,N/A,N/A,True,
364,Parada de Bombeiros,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,None,Portugal,N/A,N/A,[],N/A,N/A,N/A,tt0000365,movie,N/A,N/A,N/A,N/A,True,
365,Uma Parada dos Alunos da Casa Pia de Lisboa,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,[],N/A,N/A,N/A,tt0000366,movie,N/A,N/A,N/A,N/A,True,
366,Pas de colombine,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000367,movie,N/A,N/A,N/A,N/A,True,
367,Le petit chaperon rouge,1901,N/A,26 Oct 1901,N/A,"Short, Fantasy",Georges Méliès,Charles Perrault,Rachel Gillet,"A spectacular performance, in twelve tableaux, of the most popular and best known fairy tale in history. From this most simple tale we have produced a play that is both pleasing and amusing to young and old, introducing as we do many",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTJmMTMzYjMtYmNjYi00Y2NkLWIyMGMtNDgxYjYyYWE1NjNhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,21,tt0000368,movie,N/A,N/A,N/A,N/A,True,
368,Pista de bicicletas para niños en Barcelona,1901,N/A,N/A,3 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000369,movie,N/A,N/A,N/A,N/A,True,
369,Scrooge; or Marley's Ghost,1901,N/A,01 Nov 1901,6 min,"Short, Drama, Fantasy",Walter R. Booth,"J.C. Buckstone, Charles Dickens",Daniel Smith,"It's Christmas Eve. The miser Scrooge and his assistant Bob Cratchit finish their work in the office and go home. When Scrooge is going to open his front door, he sees the face of Marley's ghost in the door knocker. Inside he takes o","None, English",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYmQ1Zjg1YjQtMjA1Zi00ZGVlLWFhM2YtZTllYjRiYTU2MTc0XkEyXkFqcGdeQXVyNzUyMjQ3NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,443,tt0000370,movie,N/A,N/A,N/A,N/A,True,
370,Scène d'amour,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000371,movie,N/A,N/A,N/A,N/A,True,
371,Scène d'ivresse,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000372,movie,N/A,N/A,N/A,N/A,True,
372,Les sept châteaux du diable,1902,N/A,01 Sep 1904,11 min,"Short, Drama, Horror",Ferdinand Zecca,N/A,N/A,"Dissatisfied with his life, a desperate man decides to make an unholy pact with the Devil, ignoring the seven deadly sins.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BYmZmMTBjMzItMTQ2Mi00YzMyLWE1ZTQtYjkwMjQ0MzQ3YjJhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,73,tt0000373,movie,N/A,N/A,N/A,N/A,True,
373,Tel est pris qui croyait prendre,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000374,movie,N/A,N/A,N/A,N/A,True,
374,Uma Tourada à Antiga Portuguesa,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,[],N/A,N/A,N/A,tt0000375,movie,N/A,N/A,N/A,N/A,True,
375,A táncz,1901,N/A,30 Apr 1901,N/A,"Documentary, Short",Béla Zsitkovszky,Gyula Pekár,"Emilia Márkus, Lujza Blaha, Emilia Nirschy, Linda Niko",N/A,N/A,Hungary,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,6,tt0000376,movie,N/A,N/A,N/A,N/A,True,
376,Undressing Extraordinary,1901,N/A,N/A,3 min,"Short, Comedy, Fantasy",Walter R. Booth,N/A,N/A,"Here we present a picture that simply convulses an audience with laughter. The scene opens in the bedroom of a hotel. A traveler appears, evidently a ""little worse for wear."" After ...",None,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,100,tt0000377,movie,N/A,N/A,N/A,N/A,True,
377,Les vagues,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,"Geneviève Koch, Julie Souplet",N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000378,movie,N/A,N/A,N/A,N/A,True,
378,Visit of the British Navy to Barcelona,1901,N/A,N/A,6 min,"Documentary, Short",Fructuós Gelabert,N/A,N/A,Short documentary about the English war ships anchored in Barcelona's harbour.,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,6,tt0000379,movie,N/A,N/A,N/A,N/A,True,
379,Sleeping Beauty,1903,N/A,11 Jul 1903,N/A,"Fantasy, Short, Drama","Lucien Nonguet, Ferdinand Zecca",Charles Perrault (tale),N/A,The baptism of the Princess. The fatal spinning-wheel. The Prince is smitten with the Princess. The three cross-roads. The haunted inn. Fairy palace. The mysterious oak. The fairy grotto. The Princess awakes.,French,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,11,tt0000380,movie,N/A,N/A,N/A,N/A,True,
380,Buffalo Bill's Wild West Show,1902,N/A,N/A,N/A,"Short, News",N/A,N/A,Buffalo Bill Cody,N/A,None,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,10,tt0000381,movie,N/A,N/A,N/A,N/A,True,
381,Carnaval en las ramblas,1902,N/A,N/A,9 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000382,movie,N/A,N/A,N/A,N/A,True,
382,Carreras de caballos en el hipódromo de Barcelona,1902,N/A,N/A,6 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,Short documentary about horse races in the hippodrome of Barcelona.,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000383,movie,N/A,N/A,N/A,N/A,True,
383,Les chiens savants,1902,Not Rated,10 Mar 2006,3 min,"Documentary, Short",Alice Guy,N/A,N/A,A woman performs a music hall act with her extremely well-trained dogs.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BZWY5NGZlZjgtYzg2Yi00OTc3LTkyNGEtZTg5OWY1YTE1MmJhXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,210,tt0000384,movie,N/A,N/A,N/A,N/A,True,
384,Les clowns,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000385,movie,N/A,N/A,N/A,N/A,True,
385,La cour des miracles,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000386,movie,N/A,N/A,N/A,N/A,True,
386,The Coronation of Edward VII,1902,Not Rated,01 Sep 1902,4 min,"Short, History","Georges Méliès, Charles Urban",N/A,Paul Méliès,A re-enactment using actors of the recent coronation of Britain's King Edward VII.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMmY1ZTAwNzktN2I1ZC00OTkwLWJhNzYtNWI3YWJlNTFjMjU4XkEyXkFqcGdeQXVyNzUyMjQ3NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,336,tt0000387,movie,N/A,N/A,N/A,N/A,True,
387,Danse excentrique,1902,N/A,N/A,2 min,Short,Alice Guy,N/A,Line Eshrard,"Serpentine dance by Lina Esbrard, playing with all the layers of the costume.",None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,116,tt0000388,movie,N/A,N/A,N/A,N/A,True,
388,Danse fantaisiste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000389,movie,N/A,N/A,N/A,N/A,True,
389,Danse mauresque,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000390,movie,N/A,N/A,N/A,N/A,True,
390,La dent récalcitrante,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000391,movie,N/A,N/A,N/A,N/A,True,
391,The Enchanted Cup,1903,N/A,01 Oct 1903,N/A,"Short, Fantasy",Walter R. Booth,N/A,N/A,"This popular mythical legend of the Fatherland is described in full detail, and many startling effects are introduced. A pretty German peasant girl is awaiting her lover at the trysting place in the mountains, when she is captured by",None,United Kingdom,N/A,N/A,[],N/A,N/A,N/A,tt0000392,movie,N/A,N/A,N/A,N/A,True,
392,En faction,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000393,movie,N/A,N/A,N/A,N/A,True,
393,Farces de cuisinière,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000394,movie,N/A,N/A,N/A,N/A,True,
394,La fiole enchantée,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000395,movie,N/A,N/A,N/A,N/A,True,
395,Fruits de saison,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000396,movie,N/A,N/A,N/A,N/A,True,
396,La gavotte,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000397,movie,N/A,N/A,N/A,N/A,True,
397,La gigue,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000398,movie,N/A,N/A,N/A,N/A,True,
398,Jack and the Beanstalk,1902,Not Rated,15 Jul 1902,10 min,"Short, Fantasy","George S. Fleming, Edwin S. Porter",N/A,"James H. White, Thomas White","Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods reminiscent of 'Georges Melies', Porter uses animatio","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,713,tt0000399,movie,N/A,N/A,N/A,N/A,True,
399,Le lion savant,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,16,tt0000400,movie,N/A,N/A,N/A,N/A,True,
400,Le marchand de ballons,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000401,movie,N/A,N/A,N/A,N/A,True,
401,Mother Goose Nursery Rhymes,1902,Not Rated,01 Feb 1903,N/A,"Short, Comedy",George Albert Smith,N/A,Tom Green,"Eight scenes: Sing a Song of Sixpence, Old Mother Hubbard, Little Miss Muffet, Goosey Gander, Jack and Jill, Old Woman in a Shoe, Hey Diddle Diddle.",N/A,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000402,movie,N/A,N/A,N/A,N/A,True,
402,Le pommier,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000403,movie,N/A,N/A,N/A,N/A,True,
403,Pour secouer la salade,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000404,movie,N/A,N/A,N/A,N/A,True,
404,La première gamelle,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000405,movie,N/A,N/A,N/A,N/A,True,
405,The Prince of Darkness,1900,N/A,01 Apr 1900,N/A,"Short, Horror",N/A,N/A,N/A,"In this picture some very remarkable effects are obtained by the reversal of the motion of the negative. A man comes home, somewhat under the influence of liquor, and starts to remove his outer clothes. As fast as he removes each art",None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,43,tt0000406,movie,N/A,N/A,N/A,N/A,True,
406,Procesión de las hijas de María de la parroquia de Sans,1902,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,35,tt0000407,movie,N/A,N/A,N/A,N/A,True,
407,Quadrille réaliste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000408,movie,N/A,N/A,N/A,N/A,True,
408,Sage-femme de première classe,1902,N/A,N/A,4 min,"Short, Comedy",Alice Guy,N/A,"Alice Guy, Germaine Serand, Yvonne Serand",A young couple go shopping for a baby.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BNzcwZWVmNmUtODE2Mi00MjE5LWEzMDktNTM1MzdiY2Q4MTRjXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,202,tt0000409,movie,N/A,N/A,N/A,N/A,True,
409,Demolishing and Building Up the Star Theatre,1901,Unrated,01 Apr 1901,2 min,"Documentary, Short",Frederick S. Armitage,N/A,N/A,Time-lapse photography is used to show the manual dismantling and demolition of New York's Star Theatre over a period of about 30 days.,None,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNWY1ZmU5OTItY2EyYy00MWZhLWJiZDUtYmQxYmY5NTVjNmU3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,957,tt0000410,movie,N/A,N/A,N/A,N/A,True,
410,Trompé mais content,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000411,movie,N/A,N/A,N/A,N/A,True,
411,The Troublesome Fly,1900,N/A,01 May 1900,N/A,"Short, Comedy, Horror",Arthur Marvin,N/A,N/A,N/A,N/A,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,7,tt0000412,movie,N/A,N/A,N/A,N/A,True,
412,Les trésors de satan,1902,Not Rated,01 Feb 1903,3 min,"Short, Comedy, Fantasy",Georges Méliès,Georges Méliès,Georges Méliès,"The setting of this fantastic scene represents the hall of an old chateau in which a miser has locked up seven large bags containing his wealth. Satan, who has made his way into the chateau, puts the seven bags in a strong box, and m",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNjBiMjM4ZjEtMjViNi00NmY0LTg5NGItZDExOWY1MzhkODk3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,412,tt0000413,movie,N/A,N/A,N/A,N/A,True,
413,Uncle Josh at the Moving Picture Show,1902,Not Rated,01 Jan 1902,2 min,"Comedy, Short",Edwin S. Porter,N/A,Charles Manley,Country rube thinks what he sees on the movie screen is real. He jumps out of his seat to try to stop a kissing scene.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU4MjgwNzU5Ml5BMl5BanBnXkFtZTcwMzExNDA3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,713,tt0000414,movie,N/A,N/A,N/A,N/A,True,
414,A Peculiar Cabinet,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000415,movie,N/A,N/A,N/A,N/A,True,
415,Les victimes de l'alcoolisme,1902,N/A,01 Oct 1904,4 min,"Short, Drama",Ferdinand Zecca,"Ferdinand Zecca, Émile Zola",N/A,A happy family is brought to ruin when the father starts drinking.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BOTg5N2QwNzQtODBmYi00YzZkLTliNmMtMGUxMjYzMTBlYzU0XkEyXkFqcGdeQXVyMTAzNDQ1MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,144,tt0000416,movie,N/A,N/A,N/A,N/A,True,
416,Le voyage dans la lune,1902,TV-G,04 Oct 1902,13 min,"Short, Action, Adventure",Georges Méliès,"Georges Méliès, Jules Verne, H.G. Wells","Georges Méliès, Victor André, Bleuette Bernon",A group of astronomers go on an expedition to the Moon.,"None, French",France,1 win,https://m.media-amazon.com/images/M/MV5BMzcyYzhlMzctYjg1NS00ODJlLTkxOTUtYmQ4YjgxMWY5MGFlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"46,659",tt0000417,movie,N/A,N/A,N/A,N/A,True,
417,The Wild Man of Borneo,1902,N/A,01 Sep 1902,N/A,"Short, Drama",William Haggar,N/A,N/A,Fight between a knight and a forest hermit.,None,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000418,movie,N/A,N/A,N/A,N/A,True,
418,L'équilibriste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000419,movie,N/A,N/A,N/A,N/A,True,
419,Alice in Wonderland,1903,N/A,17 Oct 1903,8 min,"Short, Family, Fantasy","Cecil M. Hepworth, Percy Stow","Lewis Carroll, Cecil M. Hepworth","May Clark, Cecil M. Hepworth, Blair","This is the first movie version of the famous story. Alice dozes in a garden, awakened by a dithering white rabbit in waistcoat with pocket watch. She follows him down a hole and finds herself in a hall of many doors.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODQyZWYxZWYtNDRmZC00ZjQxLTlhZGQtM2JmZGNlYjViNGU5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"2,528",tt0000420,movie,N/A,N/A,N/A,N/A,True,
420,Les apaches pas veinards,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,Ferdinand Zecca,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000421,movie,N/A,N/A,N/A,N/A,True,
421,Les aventures d'un voyageur trop pressé,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,Ferdinand Zecca,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,9,tt0000422,movie,N/A,N/A,N/A,N/A,True,
422,La boîte à malice,1903,N/A,13 Jun 1903,1 min,"Short, Fantasy",Georges Méliès,N/A,Georges Méliès,"As scene as pleasing as incomprehensible. A juggler summons two chairs, which come to the stage jumping and twirling around. Across the back of these chairs the operator places a sheet of glass on which he lays a box about four inche",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMmU2YTJjYjEtNjQxNC00YTE3LTliOTItOWMyY2U2Y2QzNzkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,220,tt0000423,movie,N/A,N/A,N/A,N/A,True,
423,Les braconniers,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000424,movie,N/A,N/A,N/A,N/A,True,
